DATES,INFO=Z0 IS EQUITY
2020-10-27,1099.0
2020-10-28,1084.0
2020-10-29,1081.45
2020-10-30,1064.65
2020-11-02,1075.2
2020-11-03,1069.75
2020-11-04,1098.3
2020-11-05,1112.75
2020-11-06,1121.35
2020-11-09,1141.55
2020-11-10,1100.3
2020-11-11,1127.65
2020-11-12,1123.15
2020-11-13,1131.5
2020-11-14,1138.5
2020-11-17,1130.7
2020-11-18,1117.95
2020-11-19,1104.25
2020-11-20,1110.0
2020-11-23,1145.45
2020-11-24,1146.4
2020-11-25,1121.3
2020-11-26,1118.2
2020-11-27,1107.5
2020-12-01,1140.6
2020-12-02,1147.8
2020-12-03,1134.35
2020-12-04,1141.25
2020-12-07,1149.6
2020-12-08,1160.2
2020-12-09,1178.55
2020-12-10,1170.3
2020-12-11,1164.25
2020-12-14,1165.9
2020-12-15,1158.9
2020-12-16,1167.55
2020-12-17,1161.6
2020-12-18,1195.25
