DATES,SUNP=X0 IS EQUITY
2020-10-27,472.65
2020-10-28,465.25
2020-10-29,457.95
2020-10-30,466.45
2020-11-02,469.9
2020-11-03,487.25
2020-11-04,505.25
2020-11-05,513.15
2020-11-06,509.3
2020-11-09,512.4
2020-11-10,493.3
2020-11-11,507.65
2020-11-12,511.15
2020-11-13,510.65
2020-11-14,515.95
2020-11-17,518.5
2020-11-18,514.25
2020-11-19,509.0
2020-11-20,504.4
2020-11-23,513.4
2020-11-24,520.9
2020-11-25,506.1
2020-11-26,511.7
