DATES,TCS=X0 IS EQUITY
2020-10-27,2642.7
2020-10-28,2632.95
2020-10-29,2637.0
2020-10-30,2663.45
2020-11-02,2616.2
2020-11-03,2636.4
2020-11-04,2664.05
2020-11-05,2697.6
2020-11-06,2712.8
2020-11-09,2737.35
2020-11-10,2661.55
2020-11-11,2699.25
2020-11-12,2682.7
2020-11-13,2668.75
2020-11-14,2675.95
2020-11-17,2674.75
2020-11-18,2636.45
2020-11-19,2642.5
2020-11-20,2663.05
2020-11-23,2723.6
2020-11-24,2722.25
2020-11-25,2698.15
2020-11-26,2720.6
