DATES,ACEM=X0 IS EQUITY
2020-10-27,256.3
2020-10-28,252.3
2020-10-29,254.8
2020-10-30,259.55
2020-11-02,261.05
2020-11-03,262.5
2020-11-04,265.3
2020-11-05,256.1
2020-11-06,249.0
2020-11-09,249.55
2020-11-10,250.65
2020-11-11,259.75
2020-11-12,262.95
2020-11-13,258.75
2020-11-14,258.85
2020-11-17,267.7
2020-11-18,262.8
2020-11-19,259.35
2020-11-20,257.9
2020-11-23,258.6
2020-11-24,255.45
2020-11-25,256.1
2020-11-26,260.75
