DATES,HDFCL=X0 IS EQUITY
2020-10-27,588.3
2020-10-28,587.35
2020-10-29,586.95
2020-10-30,590.6
2020-11-02,590.05
2020-11-03,600.45
2020-11-04,597.2
2020-11-05,595.1
2020-11-06,592.7
2020-11-09,595.55
2020-11-10,610.85
2020-11-11,624.0
2020-11-12,631.1
2020-11-13,629.15
2020-11-14,634.8
2020-11-17,671.2
2020-11-18,666.85
2020-11-19,648.45
2020-11-20,665.15
2020-11-23,662.5
2020-11-24,665.25
2020-11-25,666.5
2020-11-26,660.8
