DATES,MSIL=X0 IS EQUITY
2020-10-27,7182.95
2020-10-28,7194.35
2020-10-29,7126.8
2020-10-30,6971.75
2020-11-02,6899.2
2020-11-03,6942.55
2020-11-04,6985.5
2020-11-05,7124.7
2020-11-06,6935.1
2020-11-09,6900.55
2020-11-10,6823.2
2020-11-11,6887.8
2020-11-12,6865.95
2020-11-13,6838.45
2020-11-14,6863.25
2020-11-17,6987.8
2020-11-18,7082.75
2020-11-19,6964.65
2020-11-20,6966.4
2020-11-23,6983.2
2020-11-24,7165.15
2020-11-25,7057.45
2020-11-26,6994.2
