DATES,SHTF=X0 IS EQUITY
2020-10-27,732.0
2020-10-28,708.7
2020-10-29,697.1
2020-10-30,690.75
2020-11-02,749.6
2020-11-03,757.55
2020-11-04,784.4
2020-11-05,809.85
2020-11-06,839.3
2020-11-09,838.65
2020-11-10,860.15
2020-11-11,881.75
2020-11-12,864.45
2020-11-13,876.1
2020-11-14,872.65
2020-11-17,863.8
2020-11-18,928.15
2020-11-19,910.45
2020-11-20,933.15
2020-11-23,970.35
2020-11-24,1017.6
2020-11-25,1043.25
2020-11-26,1051.7
