DATES,AFX0 INDEX
2020-10-27,24735.15
2020-10-28,24222.9
2020-10-29,24090.8
2020-10-30,23924.55
2020-11-02,24931.2
2020-11-03,25669.55
2020-11-04,25795.0
2020-11-05,26296.6
2020-11-06,26749.2
2020-11-09,27523.15
2020-11-10,28640.05
2020-11-11,28815.7
2020-11-12,28316.3
2020-11-13,28511.9
2020-11-14,28596.35
2020-11-17,29151.9
2020-11-18,29756.4
2020-11-19,28912.05
2020-11-20,29244.9
2020-11-23,29010.4
2020-11-24,29729.9
2020-11-25,29208.7
2020-11-26,29549.75
