DATES,TATA=X0 IS EQUITY
2020-10-27,412.25
2020-10-28,403.3
2020-10-29,402.6
2020-10-30,410.5
2020-11-02,404.75
2020-11-03,408.6
2020-11-04,405.9
2020-11-05,427.45
2020-11-06,427.8
2020-11-09,439.45
2020-11-10,443.75
2020-11-11,475.45
2020-11-12,474.4
2020-11-13,487.65
2020-11-14,492.8
2020-11-17,524.55
2020-11-18,523.45
2020-11-19,523.1
2020-11-20,533.85
2020-11-23,543.25
2020-11-24,548.65
2020-11-25,541.95
2020-11-26,568.4
