DATES,BHART=X0 IS EQUITY
2020-10-27,435.35
2020-10-28,452.45
2020-10-29,452.4
2020-10-30,434.8
2020-11-02,457.6
2020-11-03,455.1
2020-11-04,453.75
2020-11-05,458.75
2020-11-06,451.55
2020-11-09,472.15
2020-11-10,467.9
2020-11-11,480.15
2020-11-12,479.95
2020-11-13,477.75
2020-11-14,480.6
2020-11-17,484.95
2020-11-18,478.7
2020-11-19,469.85
2020-11-20,485.05
2020-11-23,478.15
2020-11-24,474.8
2020-11-25,463.55
2020-11-26,468.4
