DATES,BPCL=X0 IS EQUITY
2020-10-27,349.1
2020-10-28,346.05
2020-10-29,343.0
2020-10-30,353.85
2020-11-02,348.25
2020-11-03,350.85
2020-11-04,350.5
2020-11-05,367.2
2020-11-06,362.8
2020-11-09,375.6
2020-11-10,383.0
2020-11-11,393.9
2020-11-12,394.65
2020-11-13,395.65
2020-11-14,414.05
2020-11-17,395.6
2020-11-18,384.6
2020-11-19,384.7
2020-11-20,383.75
2020-11-23,394.55
2020-11-24,389.9
2020-11-25,383.0
2020-11-26,378.0
