DATES,HNDL=X0 IS EQUITY
2020-10-27,174.75
2020-10-28,170.7
2020-10-29,168.6
2020-10-30,170.75
2020-11-02,171.4
2020-11-03,179.85
2020-11-04,177.3
2020-11-05,188.2
2020-11-06,188.85
2020-11-09,195.2
2020-11-10,192.75
2020-11-11,204.9
2020-11-12,208.85
2020-11-13,210.95
2020-11-14,209.0
2020-11-17,213.55
2020-11-18,219.5
2020-11-19,214.15
2020-11-20,215.7
2020-11-23,218.3
2020-11-24,225.75
2020-11-25,223.15
2020-11-26,229.9
