DATES,TTAN=X0 IS EQUITY
2020-10-27,1236.1
2020-10-28,1222.35
2020-10-29,1179.55
2020-10-30,1169.85
2020-11-02,1172.55
2020-11-03,1204.4
2020-11-04,1216.9
2020-11-05,1246.95
2020-11-06,1257.55
2020-11-09,1289.15
2020-11-10,1306.4
2020-11-11,1280.5
2020-11-12,1282.8
2020-11-13,1289.25
2020-11-14,1286.6
2020-11-17,1302.1
2020-11-18,1285.25
2020-11-19,1296.15
2020-11-20,1364.05
2020-11-23,1347.25
2020-11-24,1330.45
2020-11-25,1309.1
2020-11-26,1327.4
