DATES,UTCEM=X0 IS EQUITY
2020-10-27,4576.0
2020-10-28,4483.8
2020-10-29,4588.95
2020-10-30,4574.0
2020-11-02,4563.3
2020-11-03,4567.55
2020-11-04,4554.7
2020-11-05,4637.55
2020-11-06,4575.6
2020-11-09,4645.55
2020-11-10,4723.2
2020-11-11,4828.95
2020-11-12,4848.7
2020-11-13,4904.75
2020-11-14,4909.2
2020-11-17,4915.8
2020-11-18,4930.05
2020-11-19,4793.45
2020-11-20,4866.7
2020-11-23,4891.25
2020-11-24,4884.6
2020-11-25,4816.7
2020-11-26,4834.15
