DATES,GAIL=X0 IS EQUITY
2020-10-27,84.35
2020-10-28,83.4
2020-10-29,83.5
2020-10-30,84.7
2020-11-02,84.35
2020-11-03,84.3
2020-11-04,83.75
2020-11-05,87.65
2020-11-06,86.15
2020-11-09,86.9
2020-11-10,90.75
2020-11-11,93.25
2020-11-12,93.35
2020-11-13,93.2
2020-11-14,93.8
2020-11-17,93.65
2020-11-18,94.35
2020-11-19,94.0
2020-11-20,97.6
2020-11-23,101.1
2020-11-24,100.55
2020-11-25,102.2
2020-11-26,102.75
