DATES,RIL=X0 IS EQUITY
2020-10-27,2046.1
2020-10-28,2021.75
2020-10-29,2032.7
2020-10-30,2061.25
2020-11-02,1882.4
2020-11-03,1858.65
2020-11-04,1918.55
2020-11-05,1958.35
2020-11-06,2031.15
2020-11-09,2052.25
2020-11-10,2087.85
2020-11-11,2005.9
2020-11-12,1988.8
2020-11-13,2005.3
2020-11-14,2005.75
2020-11-17,1997.65
2020-11-18,1993.0
2020-11-19,1976.65
2020-11-20,1900.85
2020-11-23,1956.1
2020-11-24,1968.25
2020-11-25,1949.15
2020-11-26,1952.65
