DATES,NMDC=X0 IS EQUITY
2020-10-27,82.7
2020-10-28,81.3
2020-10-29,80.95
2020-10-30,82.3
2020-11-02,84.1
2020-11-03,85.2
2020-11-04,85.1
2020-11-05,90.5
2020-11-06,90.35
2020-11-09,93.4
2020-11-10,94.1
2020-11-11,90.65
2020-11-12,90.85
2020-11-13,92.55
2020-11-14,93.8
2020-11-17,96.05
2020-11-18,97.4
2020-11-19,96.1
2020-11-20,93.65
2020-11-23,93.8
2020-11-24,93.55
2020-11-25,93.3
2020-11-26,96.35
