DATES,NZX0 INDEX
2020-10-27,11887.35
2020-10-28,11734.55
2020-10-29,11667.9
2020-10-30,11638.4
2020-11-02,11681.55
2020-11-03,11824.95
2020-11-04,11922.85
2020-11-05,12143.3
2020-11-06,12261.45
2020-11-09,12467.25
2020-11-10,12659.1
2020-11-11,12755.05
2020-11-12,12706.0
2020-11-13,12753.4
2020-11-14,12788.9
2020-11-17,12881.85
2020-11-18,12957.25
2020-11-19,12793.5
2020-11-20,12871.3
2020-11-23,12934.35
2020-11-24,13062.45
2020-11-25,12859.15
2020-11-26,12987.0
