DATES,UPLL=X0 IS EQUITY
2020-10-27,440.7
2020-10-28,451.45
2020-10-29,452.0
2020-10-30,454.7
2020-11-02,445.65
2020-11-03,418.95
2020-11-04,403.35
2020-11-05,420.2
2020-11-06,423.15
2020-11-09,427.35
2020-11-10,433.15
2020-11-11,436.2
2020-11-12,431.35
2020-11-13,427.1
2020-11-14,429.2
2020-11-17,431.0
2020-11-18,427.7
2020-11-19,417.25
2020-11-20,421.7
2020-11-23,427.65
2020-11-24,428.6
2020-11-25,418.3
2020-11-26,420.55
