DATES,TVSL=X0 IS EQUITY
2020-10-27,431.85
2020-10-28,428.25
2020-10-29,423.1
2020-10-30,453.7
2020-11-02,457.2
2020-11-03,463.75
2020-11-04,471.15
2020-11-05,478.6
2020-11-06,481.8
2020-11-09,481.0
2020-11-10,480.8
2020-11-11,479.7
2020-11-12,483.4
2020-11-13,479.95
2020-11-14,480.15
2020-11-17,477.0
2020-11-18,481.45
2020-11-19,475.85
2020-11-20,478.75
2020-11-23,477.6
2020-11-24,471.75
2020-11-25,474.85
2020-11-26,474.65
