DATES,KMB IS 11/26/20 C1840 EQUITY
2020-10-28,8.75
2020-10-29,10.1
2020-10-30,7.1
2020-11-02,7.0
2020-11-03,6.0
2020-11-04,7.75
2020-11-05,9.15
2020-11-06,14.85
2020-11-09,15.3
2020-11-10,24.5
2020-11-11,38.55
2020-11-12,20.05
2020-11-13,18.6
2020-11-14,18.0
2020-11-17,19.05
2020-11-18,27.55
2020-11-19,23.2
2020-11-20,59.35
2020-11-23,57.9
2020-11-24,79.9
2020-11-25,28.25
2020-11-26,1889.1
