DATES,BJAUT=X0 IS EQUITY
2020-10-27,2952.25
2020-10-28,2944.95
2020-10-29,2927.65
2020-10-30,2888.45
2020-11-02,2853.05
2020-11-03,2916.95
2020-11-04,2931.6
2020-11-05,2963.45
2020-11-06,2978.35
2020-11-09,3004.1
2020-11-10,3010.8
2020-11-11,3034.7
2020-11-12,3029.0
2020-11-13,3053.15
2020-11-14,3044.25
2020-11-17,3050.35
2020-11-18,3043.25
2020-11-19,3034.4
2020-11-20,3057.55
2020-11-23,3078.85
2020-11-24,3092.95
2020-11-25,3053.85
2020-11-26,3129.2
