DATES,LICHF=X0 IS EQUITY
2020-10-27,299.45
2020-10-28,295.5
2020-10-29,287.85
2020-10-30,283.9
2020-11-02,298.9
2020-11-03,302.4
2020-11-04,294.85
2020-11-05,307.7
2020-11-06,301.65
2020-11-09,304.95
2020-11-10,323.5
2020-11-11,324.3
2020-11-12,316.85
2020-11-13,314.95
2020-11-14,311.2
2020-11-17,314.5
2020-11-18,328.45
2020-11-19,329.3
2020-11-20,329.9
2020-11-23,319.95
2020-11-24,323.7
2020-11-25,323.45
2020-11-26,325.4
