DATES,HCLT=X0 IS EQUITY
2020-10-27,848.15
2020-10-28,832.8
2020-10-29,841.35
2020-10-30,843.75
2020-11-02,826.1
2020-11-03,817.6
2020-11-04,819.65
2020-11-05,845.8
2020-11-06,853.15
2020-11-09,859.95
2020-11-10,813.2
2020-11-11,829.55
2020-11-12,827.8
2020-11-13,831.9
2020-11-14,832.05
2020-11-17,818.05
2020-11-18,816.3
2020-11-19,807.3
2020-11-20,820.05
2020-11-23,840.0
2020-11-24,842.1
2020-11-25,826.2
2020-11-26,842.05
