DATES,BOS=X0 IS EQUITY
2020-10-27,11906.0
2020-10-28,11801.55
2020-10-29,11791.6
2020-10-30,11638.0
2020-11-02,11617.15
2020-11-03,11867.0
2020-11-04,11820.35
2020-11-05,12065.0
2020-11-06,11812.5
2020-11-09,11698.9
2020-11-10,12060.1
2020-11-11,12265.1
2020-11-12,11908.75
2020-11-13,11755.95
2020-11-14,11825.3
2020-11-17,11660.55
2020-11-18,11503.95
2020-11-19,11945.15
2020-11-20,11861.0
2020-11-23,11761.55
2020-11-24,12849.6
2020-11-25,12740.35
2020-11-26,12776.4
