DATES,LT=X0 IS EQUITY
2020-10-27,969.25
2020-10-28,970.15
2020-10-29,919.4
2020-10-30,914.9
2020-11-02,915.4
2020-11-03,933.8
2020-11-04,942.7
2020-11-05,962.6
2020-11-06,964.1
2020-11-09,970.15
2020-11-10,1037.5
2020-11-11,1059.95
2020-11-12,1074.0
2020-11-13,1054.9
2020-11-14,1058.15
2020-11-17,1084.55
2020-11-18,1148.05
2020-11-19,1134.25
2020-11-20,1134.85
2020-11-23,1125.85
2020-11-24,1135.5
2020-11-25,1118.1
2020-11-26,1118.85
