DATES,WPRO=X0 IS EQUITY
2020-10-27,334.05
2020-10-28,334.75
2020-10-29,337.2
2020-10-30,338.3
2020-11-02,333.9
2020-11-03,335.1
2020-11-04,341.0
2020-11-05,344.95
2020-11-06,346.55
2020-11-09,352.2
2020-11-10,343.0
2020-11-11,347.65
2020-11-12,347.05
2020-11-13,345.6
2020-11-14,345.55
2020-11-17,350.2
2020-11-18,346.65
2020-11-19,343.65
2020-11-20,347.45
2020-11-23,356.9
2020-11-24,356.05
2020-11-25,351.1
2020-11-26,354.85
