DATES,RECL=X0 IS EQUITY
2020-10-27,101.8
2020-10-28,100.85
2020-10-29,100.7
2020-10-30,102.65
2020-11-02,104.15
2020-11-03,104.45
2020-11-04,104.2
2020-11-05,106.75
2020-11-06,107.7
2020-11-09,109.75
2020-11-10,112.4
2020-11-11,117.0
2020-11-12,118.95
2020-11-13,115.65
2020-11-14,114.4
2020-11-17,115.9
2020-11-18,116.75
2020-11-19,114.85
2020-11-20,113.95
2020-11-23,115.5
2020-11-24,117.0
2020-11-25,117.05
2020-11-26,121.9
