DATES,TTCH=X0 IS EQUITY
2020-10-27,322.9
2020-10-28,323.0
2020-10-29,326.15
2020-10-30,322.9
2020-11-02,313.4
2020-11-03,310.2
2020-11-04,306.75
2020-11-05,314.25
2020-11-06,317.8
2020-11-09,318.3
2020-11-10,316.15
2020-11-11,319.65
2020-11-12,326.7
2020-11-13,325.3
2020-11-14,324.55
2020-11-17,323.1
2020-11-18,328.65
2020-11-19,354.4
2020-11-20,356.7
2020-11-23,359.2
2020-11-24,367.95
2020-11-25,368.4
2020-11-26,383.3
