DATES,ICICI IS 11/26/20 P490 EQUITY
2020-10-27,81.65
2020-10-28,94.1
2020-10-29,90.4
2020-10-30,97.15
2020-11-02,74.15
2020-11-03,52.25
2020-11-04,57.25
2020-11-05,55.75
2020-11-06,52.0
2020-11-09,36.2
2020-11-10,18.55
2020-11-11,17.35
2020-11-12,21.05
2020-11-13,16.45
2020-11-14,15.1
2020-11-17,13.9
2020-11-18,7.5
2020-11-19,16.75
2020-11-20,14.5
2020-11-23,22.2
2020-11-24,13.4
2020-11-25,17.65
2020-11-26,475.3
