DATES,IIB IS 11/26/20 C580 EQUITY
2020-10-27,71.6
2020-10-28,57.55
2020-10-29,47.1
2020-10-30,43.6
2020-11-02,68.05
2020-11-03,80.5
2020-11-04,107.0
2020-11-05,135.7
2020-11-06,164.4
2020-11-09,199.8
2020-11-10,256.65
2020-11-11,214.35
2020-11-12,192.95
2020-11-13,190.25
2020-11-14,190.05
2020-11-17,204.9
2020-11-18,248.85
2020-11-19,228.9
2020-11-20,234.85
2020-11-23,269.9
2020-11-24,273.85
2020-11-25,275.1
2020-11-26,850.55
