DATES,ADSEZ=X0 IS EQUITY
2020-10-27,365.05
2020-10-28,354.2
2020-10-29,344.05
2020-10-30,360.05
2020-11-02,358.5
2020-11-03,355.3
2020-11-04,363.2
2020-11-05,370.6
2020-11-06,372.2
2020-11-09,368.7
2020-11-10,368.4
2020-11-11,373.15
2020-11-12,369.55
2020-11-13,367.1
2020-11-14,366.4
2020-11-17,381.0
2020-11-18,391.35
2020-11-19,382.45
2020-11-20,376.7
2020-11-23,375.6
2020-11-24,392.65
2020-11-25,399.65
2020-11-26,410.15
