DATES,NEST=X0 IS EQUITY
2020-10-27,17127.05
2020-10-28,17005.8
2020-10-29,16907.45
2020-10-30,17141.6
2020-11-02,17180.45
2020-11-03,16959.3
2020-11-04,17067.4
2020-11-05,17285.15
2020-11-06,17081.75
2020-11-09,17360.05
2020-11-10,16689.95
2020-11-11,16768.3
2020-11-12,16764.05
2020-11-13,16851.9
2020-11-14,16863.5
2020-11-17,16994.05
2020-11-18,16874.1
2020-11-19,16979.6
2020-11-20,17450.25
2020-11-23,17769.05
2020-11-24,17658.4
2020-11-25,17495.55
2020-11-26,17742.35
