DATES,GCPL=X0 IS EQUITY
2020-10-27,686.35
2020-10-28,678.6
2020-10-29,684.7
2020-10-30,666.05
2020-11-02,659.05
2020-11-03,669.35
2020-11-04,679.35
2020-11-05,671.8
2020-11-06,672.35
2020-11-09,690.35
2020-11-10,677.75
2020-11-11,689.6
2020-11-12,688.2
2020-11-13,682.3
2020-11-14,685.1
2020-11-17,680.95
2020-11-18,683.5
2020-11-19,686.7
2020-11-20,699.4
2020-11-23,709.55
2020-11-24,708.7
2020-11-25,695.95
2020-11-26,701.1
