DATES,KMB IS 11/26/20 P1580 EQUITY
2020-10-27,79.75
2020-10-28,89.2
2020-10-29,75.65
2020-10-30,83.25
2020-11-02,67.0
2020-11-03,60.6
2020-11-04,42.75
2020-11-05,24.35
2020-11-06,16.6
2020-11-09,13.0
2020-11-10,12.5
2020-11-11,10.9
2020-11-12,9.65
2020-11-13,7.95
2020-11-14,6.7
2020-11-17,4.2
2020-11-18,2.85
2020-11-19,2.35
2020-11-20,1.7
2020-11-23,0.8
2020-11-24,0.7
2020-11-25,0.4
2020-11-26,1889.1
