DATES,ICICI IS 11/26/20 C490 EQUITY
2020-10-27,2.85
2020-10-28,1.8
2020-10-29,2.4
2020-10-30,1.65
2020-11-02,2.25
2020-11-03,5.55
2020-11-04,3.4
2020-11-05,2.7
2020-11-06,2.9
2020-11-09,5.2
2020-11-10,14.15
2020-11-11,15.05
2020-11-12,9.8
2020-11-13,12.35
2020-11-14,12.2
2020-11-17,10.9
2020-11-18,16.35
2020-11-19,6.65
2020-11-20,5.7
2020-11-23,2.15
2020-11-24,2.75
2020-11-25,0.7
2020-11-26,475.3
