DATES,ACC=X0 IS EQUITY
2020-10-27,1677.55
2020-10-28,1638.25
2020-10-29,1656.95
2020-10-30,1649.4
2020-11-02,1665.3
2020-11-03,1666.2
2020-11-04,1681.65
2020-11-05,1698.6
2020-11-06,1660.6
2020-11-09,1676.25
2020-11-10,1666.8
2020-11-11,1677.4
2020-11-12,1682.0
2020-11-13,1678.9
2020-11-14,1670.3
2020-11-17,1697.75
2020-11-18,1690.1
2020-11-19,1679.15
2020-11-20,1687.1
2020-11-23,1723.2
2020-11-24,1691.85
2020-11-25,1666.7
2020-11-26,1692.55
