DATES,SBIN=X0 IS EQUITY
2020-10-27,195.5
2020-10-28,191.0
2020-10-29,189.35
2020-10-30,189.95
2020-11-02,196.85
2020-11-03,205.35
2020-11-04,208.15
2020-11-05,219.15
2020-11-06,219.25
2020-11-09,220.5
2020-11-10,232.6
2020-11-11,234.55
2020-11-12,227.8
2020-11-13,230.25
2020-11-14,229.6
2020-11-17,240.3
2020-11-18,252.2
2020-11-19,240.35
2020-11-20,242.7
2020-11-23,238.85
2020-11-24,243.9
2020-11-25,242.7
2020-11-26,245.45
