DATES,SAIL=X0 IS EQUITY
2020-10-27,34.3
2020-10-28,34.5
2020-10-29,33.75
2020-10-30,34.5
2020-11-02,34.3
2020-11-03,34.9
2020-11-04,34.85
2020-11-05,38.45
2020-11-06,38.0
2020-11-09,37.9
2020-11-10,38.15
2020-11-11,39.8
2020-11-12,39.7
2020-11-13,39.35
2020-11-14,39.65
2020-11-17,40.35
2020-11-18,40.0
2020-11-19,39.85
2020-11-20,41.2
2020-11-23,43.35
2020-11-24,43.4
2020-11-25,43.05
2020-11-26,46.55
