DATES,AXSB IS 11/26/20 P500 EQUITY
2020-10-27,25.45
2020-10-28,27.7
2020-10-29,30.4
2020-10-30,29.75
2020-11-02,16.9
2020-11-03,12.75
2020-11-04,13.65
2020-11-05,8.35
2020-11-06,7.3
2020-11-09,3.85
2020-11-10,3.25
2020-11-11,2.85
2020-11-12,2.2
2020-11-13,1.7
2020-11-14,1.7
2020-11-17,1.0
2020-11-18,0.8
2020-11-19,0.8
2020-11-20,0.6
2020-11-23,0.4
2020-11-24,0.25
2020-11-25,0.15
2020-11-26,612.55
