DATES,PLNG=X0 IS EQUITY
2020-10-27,234.7
2020-10-28,227.85
2020-10-29,229.5
2020-10-30,229.2
2020-11-02,225.85
2020-11-03,222.55
2020-11-04,223.3
2020-11-05,222.2
2020-11-06,226.85
2020-11-09,233.7
2020-11-10,234.8
2020-11-11,236.65
2020-11-12,236.5
2020-11-13,246.95
2020-11-14,247.5
2020-11-17,251.8
2020-11-18,250.8
2020-11-19,246.7
2020-11-20,251.9
2020-11-23,252.65
2020-11-24,258.2
2020-11-25,256.4
2020-11-26,256.0
