DATES,BJFIN=X0 IS EQUITY
2020-10-27,5692.35
2020-10-28,5662.2
2020-10-29,5629.05
2020-10-30,5592.8
2020-11-02,5724.6
2020-11-03,5762.4
2020-11-04,5828.8
2020-11-05,6081.0
2020-11-06,6302.75
2020-11-09,6302.25
2020-11-10,6710.5
2020-11-11,6948.8
2020-11-12,7030.25
2020-11-13,7274.35
2020-11-14,7312.9
2020-11-17,7388.35
2020-11-18,7805.35
2020-11-19,7841.45
2020-11-20,8535.3
2020-11-23,8715.95
2020-11-24,8826.1
2020-11-25,8675.2
2020-11-26,8807.05
