DATES,AXSB IS 11/26/20 C630 EQUITY
2020-11-06,5.4
2020-11-09,3.4
2020-11-10,7.55
2020-11-11,14.7
2020-11-12,9.45
2020-11-13,11.55
2020-11-14,11.55
2020-11-17,17.85
2020-11-18,19.25
2020-11-19,7.95
2020-11-20,5.05
2020-11-23,2.1
2020-11-24,5.9
2020-11-25,0.4
2020-11-26,612.55
