DATES,IOCL=X0 IS EQUITY
2020-10-27,78.3
2020-10-28,78.2
2020-10-29,78.7
2020-10-30,79.6
2020-11-02,78.4
2020-11-03,78.35
2020-11-04,78.25
2020-11-05,80.25
2020-11-06,80.5
2020-11-09,81.55
2020-11-10,84.6
2020-11-11,85.3
2020-11-12,85.65
2020-11-13,85.15
2020-11-14,87.05
2020-11-17,85.15
2020-11-18,85.5
2020-11-19,85.0
2020-11-20,84.95
2020-11-23,86.65
2020-11-24,86.35
2020-11-25,85.85
2020-11-26,85.6
