DATES,NTPC=X0 IS EQUITY
2020-10-27,89.4
2020-10-28,88.05
2020-10-29,86.55
2020-10-30,87.7
2020-11-02,89.3
2020-11-03,85.55
2020-11-04,84.95
2020-11-05,86.75
2020-11-06,87.05
2020-11-09,88.85
2020-11-10,90.9
2020-11-11,92.4
2020-11-12,91.1
2020-11-13,91.5
2020-11-14,91.3
2020-11-17,89.05
2020-11-18,88.7
2020-11-19,90.05
2020-11-20,91.8
2020-11-23,93.5
2020-11-24,93.9
2020-11-25,93.95
2020-11-26,94.1
