DATES,SBIN IS 11/26/20 C190 EQUITY
2020-10-27,13.55
2020-10-28,10.95
2020-10-29,10.25
2020-10-30,10.25
2020-11-02,13.9
2020-11-03,19.7
2020-11-04,21.3
2020-11-05,30.45
2020-11-06,30.45
2020-11-09,31.45
2020-11-10,43.0
2020-11-11,45.2
2020-11-12,38.1
2020-11-13,41.25
2020-11-14,41.55
2020-11-17,50.35
2020-11-18,62.3
2020-11-19,50.55
2020-11-20,53.6
2020-11-23,49.4
2020-11-24,54.3
2020-11-25,53.0
2020-11-26,245.45
