DATES,TPWR=X0 IS EQUITY
2020-10-27,54.0
2020-10-28,53.3
2020-10-29,52.3
2020-10-30,52.35
2020-11-02,52.9
2020-11-03,53.85
2020-11-04,53.4
2020-11-05,55.6
2020-11-06,55.0
2020-11-09,55.25
2020-11-10,57.05
2020-11-11,57.45
2020-11-12,55.75
2020-11-13,55.55
2020-11-14,56.1
2020-11-17,57.9
2020-11-18,60.75
2020-11-19,59.25
2020-11-20,58.25
2020-11-23,58.95
2020-11-24,60.0
2020-11-25,61.55
2020-11-26,62.35
