DATES,TECHM=X0 IS EQUITY
2020-10-27,817.35
2020-10-28,792.65
2020-10-29,805.5
2020-10-30,813.1
2020-11-02,815.55
2020-11-03,811.45
2020-11-04,828.25
2020-11-05,841.95
2020-11-06,852.05
2020-11-09,873.55
2020-11-10,825.15
2020-11-11,840.8
2020-11-12,844.7
2020-11-13,842.1
2020-11-14,842.2
2020-11-17,846.15
2020-11-18,838.55
2020-11-19,825.8
2020-11-20,837.65
2020-11-23,865.0
2020-11-24,877.25
2020-11-25,861.75
2020-11-26,857.05
