DATES,PNB=X0 IS EQUITY
2020-10-27,27.4
2020-10-28,27.1
2020-10-29,26.7
2020-10-30,26.75
2020-11-02,28.05
2020-11-03,27.85
2020-11-04,27.55
2020-11-05,27.85
2020-11-06,27.9
2020-11-09,28.7
2020-11-10,29.75
2020-11-11,29.35
2020-11-12,29.25
2020-11-13,29.65
2020-11-14,29.65
2020-11-17,29.95
2020-11-18,30.85
2020-11-19,30.05
2020-11-20,29.95
2020-11-23,30.15
2020-11-24,30.5
2020-11-25,31.35
2020-11-26,32.05
