DATES,SRCM=X0 IS EQUITY
2020-10-27,21820.25
2020-10-28,21390.05
2020-10-29,21685.1
2020-10-30,21699.95
2020-11-02,21738.7
2020-11-03,21883.9
2020-11-04,21981.05
2020-11-05,22263.15
2020-11-06,22099.0
2020-11-09,22680.2
2020-11-10,22811.7
2020-11-11,22990.45
2020-11-12,23537.05
2020-11-13,23502.5
2020-11-14,23428.65
2020-11-17,24067.9
2020-11-18,24143.8
2020-11-19,23715.45
2020-11-20,24029.35
2020-11-23,24469.45
2020-11-24,24224.15
2020-11-25,23689.1
2020-11-26,24381.4
