DATES,PIDI=X0 IS EQUITY
2020-10-27,1528.35
2020-10-28,1523.8
2020-10-29,1594.4
2020-10-30,1572.25
2020-11-02,1562.15
2020-11-03,1566.8
2020-11-04,1570.6
2020-11-05,1592.15
2020-11-06,1600.9
2020-11-09,1599.8
2020-11-10,1579.1
2020-11-11,1569.9
2020-11-12,1576.65
2020-11-13,1571.2
2020-11-14,1582.1
2020-11-17,1568.2
2020-11-18,1567.5
2020-11-19,1562.15
2020-11-20,1563.5
2020-11-23,1585.05
2020-11-24,1584.5
2020-11-25,1547.45
2020-11-26,1533.6
