DATES,SBIN IS 11/26/20 P190 EQUITY
2020-10-27,8.1
2020-10-28,9.95
2020-10-29,10.75
2020-10-30,10.2
2020-11-02,7.1
2020-11-03,4.5
2020-11-04,3.25
2020-11-05,1.4
2020-11-06,1.35
2020-11-09,1.1
2020-11-10,0.85
2020-11-11,0.9
2020-11-12,0.85
2020-11-13,0.7
2020-11-14,0.7
2020-11-17,0.5
2020-11-18,0.35
2020-11-19,0.35
2020-11-20,0.15
2020-11-23,0.15
2020-11-24,0.1
2020-11-25,0.05
2020-11-26,245.45
