DATES,SIEM=X0 IS EQUITY
2020-10-27,1263.45
2020-10-28,1287.65
2020-10-29,1286.55
2020-10-30,1271.4
2020-11-02,1288.0
2020-11-03,1311.5
2020-11-04,1334.05
2020-11-05,1337.75
2020-11-06,1332.7
2020-11-09,1355.95
2020-11-10,1363.75
2020-11-11,1375.0
2020-11-12,1408.95
2020-11-13,1372.75
2020-11-14,1370.2
2020-11-17,1407.0
2020-11-18,1425.6
2020-11-19,1425.05
2020-11-20,1427.15
2020-11-23,1403.2
2020-11-24,1397.55
2020-11-25,1366.0
2020-11-26,1516.85
