DATES,DRRD=X0 IS EQUITY
2020-10-27,5106.9
2020-10-28,4958.55
2020-10-29,4944.65
2020-10-30,4903.05
2020-11-02,4878.55
2020-11-03,4898.65
2020-11-04,4954.55
2020-11-05,4981.95
2020-11-06,4922.7
2020-11-09,4901.8
2020-11-10,4717.85
2020-11-11,4897.95
2020-11-12,4845.4
2020-11-13,4878.3
2020-11-14,4880.9
2020-11-17,4799.1
2020-11-18,4721.15
2020-11-19,4718.8
2020-11-20,4682.8
2020-11-23,4826.1
2020-11-24,4916.05
2020-11-25,4812.2
2020-11-26,4901.25
