DATES,VOLT=X0 IS EQUITY
2020-10-27,703.65
2020-10-28,703.5
2020-10-29,705.25
2020-10-30,706.85
2020-11-02,722.65
2020-11-03,709.95
2020-11-04,726.95
2020-11-05,744.85
2020-11-06,755.35
2020-11-09,789.3
2020-11-10,768.9
2020-11-11,764.2
2020-11-12,758.45
2020-11-13,761.4
2020-11-14,761.8
2020-11-17,775.85
2020-11-18,773.4
2020-11-19,774.65
2020-11-20,772.25
2020-11-23,761.9
2020-11-24,778.7
2020-11-25,752.9
2020-11-26,769.1
