DATES,SBIN IS 11/26/20 C250 EQUITY
2020-10-27,1.05
2020-10-28,0.95
2020-10-29,0.8
2020-10-30,0.7
2020-11-02,0.7
2020-11-03,1.3
2020-11-04,1.35
2020-11-05,1.3
2020-11-06,1.1
2020-11-09,1.05
2020-11-10,3.2
2020-11-11,3.4
2020-11-12,1.9
2020-11-13,1.85
2020-11-14,1.65
2020-11-17,3.15
2020-11-18,8.2
2020-11-19,3.1
2020-11-20,2.9
2020-11-23,1.6
2020-11-24,1.75
2020-11-25,0.55
2020-11-26,245.45
