DATES,EIM=X0 IS EQUITY
2020-10-27,2125.15
2020-10-28,2136.5
2020-10-29,2138.4
2020-10-30,2092.1
2020-11-02,2035.1
2020-11-03,2098.05
2020-11-04,2103.45
2020-11-05,2128.75
2020-11-06,2146.35
2020-11-09,2202.05
2020-11-10,2242.05
2020-11-11,2328.7
2020-11-12,2340.7
2020-11-13,2523.55
2020-11-14,2531.85
2020-11-17,2549.6
2020-11-18,2622.65
2020-11-19,2558.85
2020-11-20,2596.0
2020-11-23,2601.25
2020-11-24,2693.4
2020-11-25,2593.1
2020-11-26,2549.25
