DATES,AXSB IS 11/26/20 C500 EQUITY
2020-10-27,35.0
2020-10-28,34.5
2020-10-29,26.35
2020-10-30,23.6
2020-11-02,39.95
2020-11-03,46.95
2020-11-04,38.3
2020-11-05,47.95
2020-11-06,49.1
2020-11-09,70.75
2020-11-10,88.7
2020-11-11,110.6
2020-11-12,102.25
2020-11-13,111.7
2020-11-14,117.45
2020-11-17,130.3
2020-11-18,137.25
2020-11-19,113.85
2020-11-20,110.15
2020-11-23,96.5
2020-11-24,120.0
2020-11-25,101.2
2020-11-26,612.55
