DATES,AXSB=X0 IS EQUITY
2020-10-27,509.1
2020-10-28,506.5
2020-10-29,495.55
2020-10-30,493.55
2020-11-02,523.8
2020-11-03,534.5
2020-11-04,526.15
2020-11-05,539.85
2020-11-06,542.3
2020-11-09,567.4
2020-11-10,586.05
2020-11-11,608.95
2020-11-12,599.9
2020-11-13,610.8
2020-11-14,612.4
2020-11-17,629.3
2020-11-18,636.9
2020-11-19,612.85
2020-11-20,608.95
2020-11-23,596.8
2020-11-24,620.9
2020-11-25,600.35
2020-11-26,612.55
