DATES,KMB IS 11/26/20 C1580 EQUITY
2020-10-27,77.0
2020-10-28,52.2
2020-10-29,60.45
2020-10-30,47.25
2020-11-02,63.0
2020-11-03,69.25
2020-11-04,86.95
2020-11-05,109.45
2020-11-06,144.45
2020-11-09,149.65
2020-11-10,185.2
2020-11-11,233.1
2020-11-12,185.6
2020-11-13,191.3
2020-11-14,196.95
2020-11-17,219.6
2020-11-18,252.45
2020-11-19,247.9
2020-11-20,310.5
2020-11-23,318.4
2020-11-24,345.25
2020-11-25,286.8
2020-11-26,1889.1
