DATES,APNT=X0 IS EQUITY
2020-10-27,2197.9
2020-10-28,2168.55
2020-10-29,2226.35
2020-10-30,2212.4
2020-11-02,2182.7
2020-11-03,2163.5
2020-11-04,2178.9
2020-11-05,2242.3
2020-11-06,2217.85
2020-11-09,2232.8
2020-11-10,2209.65
2020-11-11,2190.6
2020-11-12,2181.15
2020-11-13,2188.25
2020-11-14,2189.8
2020-11-17,2193.3
2020-11-18,2200.55
2020-11-19,2168.6
2020-11-20,2172.55
2020-11-23,2189.45
2020-11-24,2206.25
2020-11-25,2153.25
2020-11-26,2155.3
