DATES,AXSB IS 11/26/20 P630 EQUITY
2020-11-06,92.15
2020-11-09,65.0
2020-11-10,57.2
2020-11-11,40.1
2020-11-12,44.7
2020-11-13,37.2
2020-11-14,34.5
2020-11-17,18.6
2020-11-18,12.45
2020-11-19,24.65
2020-11-20,24.75
2020-11-23,35.0
2020-11-24,14.6
2020-11-25,30.45
2020-11-26,612.55
