DATES,HUVR=X0 IS EQUITY
2020-10-27,2167.35
2020-10-28,2169.25
2020-10-29,2127.55
2020-10-30,2077.45
2020-11-02,2081.15
2020-11-03,2063.0
2020-11-04,2065.55
2020-11-05,2106.35
2020-11-06,2099.6
2020-11-09,2134.7
2020-11-10,2137.95
2020-11-11,2135.85
2020-11-12,2197.7
2020-11-13,2187.8
2020-11-14,2186.55
2020-11-17,2179.45
2020-11-18,2139.85
2020-11-19,2137.65
2020-11-20,2125.75
2020-11-23,2131.35
2020-11-24,2158.45
2020-11-25,2135.0
2020-11-26,2154.2
