DATES,CIPLA=X0 IS EQUITY
2020-10-27,771.9
2020-10-28,766.65
2020-10-29,762.85
2020-10-30,756.5
2020-11-02,754.4
2020-11-03,762.8
2020-11-04,784.5
2020-11-05,797.35
2020-11-06,793.2
2020-11-09,765.5
2020-11-10,720.3
2020-11-11,744.75
2020-11-12,743.0
2020-11-13,747.65
2020-11-14,747.55
2020-11-17,744.1
2020-11-18,745.6
2020-11-19,744.65
2020-11-20,741.7
2020-11-23,746.7
2020-11-24,749.95
2020-11-25,732.55
2020-11-26,738.65
